"x","y","species","presence","group"
-2.75,6.75,"Acanthixalus sonjae",1,"Amphibians"
-7.75,6.25,"Acanthixalus sonjae",1,"Amphibians"
-7.25,6.25,"Acanthixalus sonjae",1,"Amphibians"
-2.75,6.25,"Acanthixalus sonjae",1,"Amphibians"
-7.75,5.75,"Acanthixalus sonjae",1,"Amphibians"
-7.25,5.75,"Acanthixalus sonjae",1,"Amphibians"
-7.25,5.25,"Acanthixalus sonjae",1,"Amphibians"
-2.75,5.25,"Acanthixalus sonjae",1,"Amphibians"
-66.25,0.75,"Adelastes hylonomos",1,"Amphibians"
-39.75,-4.25,"Adelophryne baturitensis",1,"Amphibians"
-39.25,-4.25,"Adelophryne baturitensis",1,"Amphibians"
-38.75,-4.25,"Adelophryne baturitensis",1,"Amphibians"
-38.75,-3.75,"Adelophryne maranguapensis",1,"Amphibians"
-39.75,-12.75,"Adelophryne pachydactyla",1,"Amphibians"
-39.25,-12.75,"Adelophryne pachydactyla",1,"Amphibians"
-39.75,-13.25,"Adelophryne pachydactyla",1,"Amphibians"
-39.25,-13.25,"Adelophryne pachydactyla",1,"Amphibians"
-39.75,-13.75,"Adelophryne pachydactyla",1,"Amphibians"
-39.25,-13.75,"Adelophryne pachydactyla",1,"Amphibians"
-39.25,-14.25,"Adelophryne pachydactyla",1,"Amphibians"
-39.25,-14.75,"Adelophryne pachydactyla",1,"Amphibians"
-60.75,5.25,"Adelophryne patamona",1,"Amphibians"
-60.25,5.25,"Adelophryne patamona",1,"Amphibians"
-59.75,5.25,"Adelophryne patamona",1,"Amphibians"
-46.75,-23.75,"Adenomera ajurauna",1,"Amphibians"
-46.25,-23.75,"Adenomera ajurauna",1,"Amphibians"
-50.25,-28.25,"Adenomera araucaria",1,"Amphibians"
-49.75,-28.25,"Adenomera araucaria",1,"Amphibians"
-50.25,-28.75,"Adenomera araucaria",1,"Amphibians"
-49.75,-28.75,"Adenomera araucaria",1,"Amphibians"
-50.25,-29.25,"Adenomera araucaria",1,"Amphibians"
-49.75,-29.25,"Adenomera araucaria",1,"Amphibians"
-65.75,-17.25,"Adenomera coca",1,"Amphibians"
-65.25,-17.25,"Adenomera coca",1,"Amphibians"
-60.75,6.25,"Adenomera lutzi",1,"Amphibians"
-60.25,6.25,"Adenomera lutzi",1,"Amphibians"
-60.75,5.75,"Adenomera lutzi",1,"Amphibians"
-60.25,5.75,"Adenomera lutzi",1,"Amphibians"
-59.75,5.75,"Adenomera lutzi",1,"Amphibians"
-59.25,5.75,"Adenomera lutzi",1,"Amphibians"
-60.25,5.25,"Adenomera lutzi",1,"Amphibians"
-59.75,5.25,"Adenomera lutzi",1,"Amphibians"
-59.25,5.25,"Adenomera lutzi",1,"Amphibians"
-48.75,-25.75,"Adenomera nana",1,"Amphibians"
-49.75,-26.25,"Adenomera nana",1,"Amphibians"
-49.25,-26.25,"Adenomera nana",1,"Amphibians"
-48.75,-26.25,"Adenomera nana",1,"Amphibians"
-49.75,-26.75,"Adenomera nana",1,"Amphibians"
-49.25,-26.75,"Adenomera nana",1,"Amphibians"
-48.75,-26.75,"Adenomera nana",1,"Amphibians"
-49.75,-27.25,"Adenomera nana",1,"Amphibians"
-49.25,-27.25,"Adenomera nana",1,"Amphibians"
80.75,6.75,"Adenomus dasi",1,"Amphibians"
80.75,6.75,"Adenomus kandianus",1,"Amphibians"
80.25,7.25,"Adenomus kelaartii",1,"Amphibians"
80.75,7.25,"Adenomus kelaartii",1,"Amphibians"
80.25,6.75,"Adenomus kelaartii",1,"Amphibians"
80.75,6.75,"Adenomus kelaartii",1,"Amphibians"
80.25,6.25,"Adenomus kelaartii",1,"Amphibians"
80.75,6.25,"Adenomus kelaartii",1,"Amphibians"
68.75,34.75,"Afghanodon mustersi",1,"Amphibians"
69.25,34.75,"Afghanodon mustersi",1,"Amphibians"
68.75,34.25,"Afghanodon mustersi",1,"Amphibians"
35.75,7.75,"Afrixalus clarkei",1,"Amphibians"
36.25,7.75,"Afrixalus clarkei",1,"Amphibians"
34.75,7.25,"Afrixalus clarkei",1,"Amphibians"
35.25,7.25,"Afrixalus clarkei",1,"Amphibians"
35.75,7.25,"Afrixalus clarkei",1,"Amphibians"
36.25,7.25,"Afrixalus clarkei",1,"Amphibians"
38.25,-4.25,"Afrixalus dorsimaculatus",1,"Amphibians"
38.25,-4.75,"Afrixalus dorsimaculatus",1,"Amphibians"
38.75,-4.75,"Afrixalus dorsimaculatus",1,"Amphibians"
38.25,-5.25,"Afrixalus dorsimaculatus",1,"Amphibians"
38.75,-5.25,"Afrixalus dorsimaculatus",1,"Amphibians"
22.25,-33.75,"Afrixalus knysnae",1,"Amphibians"
22.75,-33.75,"Afrixalus knysnae",1,"Amphibians"
23.25,-33.75,"Afrixalus knysnae",1,"Amphibians"
23.75,-33.75,"Afrixalus knysnae",1,"Amphibians"
22.25,-34.25,"Afrixalus knysnae",1,"Amphibians"
22.75,-34.25,"Afrixalus knysnae",1,"Amphibians"
23.25,-34.25,"Afrixalus knysnae",1,"Amphibians"
23.75,-34.25,"Afrixalus knysnae",1,"Amphibians"
9.75,5.25,"Afrixalus lacteus",1,"Amphibians"
10.25,5.25,"Afrixalus lacteus",1,"Amphibians"
9.75,4.75,"Afrixalus lacteus",1,"Amphibians"
8.75,4.25,"Afrixalus lindholmi",1,"Amphibians"
35.25,-7.75,"Afrixalus morerei",1,"Amphibians"
35.75,-7.75,"Afrixalus morerei",1,"Amphibians"
36.25,-7.75,"Afrixalus morerei",1,"Amphibians"
35.25,-8.25,"Afrixalus morerei",1,"Amphibians"
35.75,-8.25,"Afrixalus morerei",1,"Amphibians"
36.25,-8.25,"Afrixalus morerei",1,"Amphibians"
35.25,-8.75,"Afrixalus morerei",1,"Amphibians"
35.75,-8.75,"Afrixalus morerei",1,"Amphibians"
9.75,4.25,"Afrixalus schneideri",1,"Amphibians"
26.25,-8.25,"Afrixalus upembae",1,"Amphibians"
26.75,-8.25,"Afrixalus upembae",1,"Amphibians"
26.25,-8.75,"Afrixalus upembae",1,"Amphibians"
26.75,-8.75,"Afrixalus upembae",1,"Amphibians"
25.75,-9.25,"Afrixalus upembae",1,"Amphibians"
26.25,-9.25,"Afrixalus upembae",1,"Amphibians"
26.75,-9.25,"Afrixalus upembae",1,"Amphibians"
-8.25,7.75,"Afrixalus vibekensis",1,"Amphibians"
-1.75,6.75,"Afrixalus vibekensis",1,"Amphibians"
-7.25,5.75,"Afrixalus vibekensis",1,"Amphibians"
-7.25,5.25,"Afrixalus vibekensis",1,"Amphibians"
-84.25,10.25,"Agalychnis annae",1,"Amphibians"
-83.75,10.25,"Agalychnis annae",1,"Amphibians"
-83.25,10.25,"Agalychnis annae",1,"Amphibians"
-84.25,9.75,"Agalychnis annae",1,"Amphibians"
-83.75,9.75,"Agalychnis annae",1,"Amphibians"
-76.25,6.75,"Agalychnis danieli",1,"Amphibians"
-77.75,7.75,"Agalychnis litodryas",1,"Amphibians"
-77.25,7.75,"Agalychnis litodryas",1,"Amphibians"
-78.75,0.75,"Agalychnis litodryas",1,"Amphibians"
-79.25,0.25,"Agalychnis litodryas",1,"Amphibians"
-78.75,0.25,"Agalychnis litodryas",1,"Amphibians"
