"x","y","species","presence","group"
92.75,9.25,"Accipiter butleri",1,"Terrestrial Birds"
93.25,8.25,"Accipiter butleri",1,"Terrestrial Birds"
93.75,8.25,"Accipiter butleri",1,"Terrestrial Birds"
93.25,7.75,"Accipiter butleri",1,"Terrestrial Birds"
93.75,7.75,"Accipiter butleri",1,"Terrestrial Birds"
-39.75,-14.75,"Acrobatornis fonsecai",1,"Terrestrial Birds"
-39.25,-14.75,"Acrobatornis fonsecai",1,"Terrestrial Birds"
-39.75,-15.25,"Acrobatornis fonsecai",1,"Terrestrial Birds"
-39.25,-15.25,"Acrobatornis fonsecai",1,"Terrestrial Birds"
-39.75,-15.75,"Acrobatornis fonsecai",1,"Terrestrial Birds"
-39.25,-15.75,"Acrobatornis fonsecai",1,"Terrestrial Birds"
-160.75,4.75,"Acrocephalus aequinoctialis",1,"Terrestrial Birds"
-157.75,2.25,"Acrocephalus aequinoctialis",1,"Terrestrial Birds"
-157.75,1.75,"Acrocephalus aequinoctialis",1,"Terrestrial Birds"
-157.25,1.75,"Acrocephalus aequinoctialis",1,"Terrestrial Birds"
-24.25,16.75,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-24.25,15.25,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-23.75,15.25,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-23.25,15.25,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-24.75,14.75,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-24.25,14.75,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-23.75,14.75,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-23.25,14.75,"Acrocephalus brevipennis",1,"Terrestrial Birds"
-149.75,-17.75,"Acrocephalus caffer",1,"Terrestrial Birds"
-149.25,-17.75,"Acrocephalus caffer",1,"Terrestrial Birds"
-161.75,23.25,"Acrocephalus familiaris",1,"Terrestrial Birds"
-157.75,-19.75,"Acrocephalus kerearako",1,"Terrestrial Birds"
-157.75,-21.75,"Acrocephalus kerearako",1,"Terrestrial Birds"
145.75,17.75,"Acrocephalus luscinius",1,"Terrestrial Birds"
145.75,15.25,"Acrocephalus luscinius",1,"Terrestrial Birds"
145.75,14.75,"Acrocephalus luscinius",1,"Terrestrial Birds"
166.75,-0.75,"Acrocephalus rehsei",1,"Terrestrial Birds"
-152.75,-22.75,"Acrocephalus rimatarae",1,"Terrestrial Birds"
63.25,-19.75,"Acrocephalus rodericanus",1,"Terrestrial Birds"
55.75,-4.25,"Acrocephalus sechellensis",1,"Terrestrial Birds"
-128.25,-24.25,"Acrocephalus taiti",1,"Terrestrial Birds"
-130.25,-25.25,"Acrocephalus vaughani",1,"Terrestrial Birds"
154.75,-5.25,"Actenoides bougainvillei",1,"Terrestrial Birds"
154.75,-5.75,"Actenoides bougainvillei",1,"Terrestrial Birds"
155.25,-5.75,"Actenoides bougainvillei",1,"Terrestrial Birds"
154.75,-6.25,"Actenoides bougainvillei",1,"Terrestrial Birds"
155.25,-6.25,"Actenoides bougainvillei",1,"Terrestrial Birds"
155.75,-6.25,"Actenoides bougainvillei",1,"Terrestrial Birds"
155.25,-6.75,"Actenoides bougainvillei",1,"Terrestrial Birds"
155.75,-6.75,"Actenoides bougainvillei",1,"Terrestrial Birds"
159.75,-9.25,"Actenoides excelsus",1,"Terrestrial Birds"
159.75,-9.75,"Actenoides excelsus",1,"Terrestrial Birds"
160.25,-9.75,"Actenoides excelsus",1,"Terrestrial Birds"
160.75,-9.75,"Actenoides excelsus",1,"Terrestrial Birds"
133.75,-0.75,"Aegotheles affinis",1,"Terrestrial Birds"
133.75,-1.25,"Aegotheles affinis",1,"Terrestrial Birds"
144.25,-6.25,"Aegotheles affinis",1,"Terrestrial Birds"
144.75,-6.25,"Aegotheles affinis",1,"Terrestrial Birds"
166.25,-21.75,"Aegotheles savesi",1,"Terrestrial Birds"
141.25,-5.75,"Aegotheles tatei",1,"Terrestrial Birds"
141.75,-5.75,"Aegotheles tatei",1,"Terrestrial Birds"
141.25,-6.25,"Aegotheles tatei",1,"Terrestrial Birds"
141.75,-6.25,"Aegotheles tatei",1,"Terrestrial Birds"
149.75,-10.25,"Aegotheles tatei",1,"Terrestrial Birds"
130.75,-0.25,"Aepypodius bruijnii",1,"Terrestrial Birds"
131.25,-0.25,"Aepypodius bruijnii",1,"Terrestrial Birds"
