"x","y","species","presence","group"
120.75,17.25,"Abditomys latidens",1,"Terrestrial Mammals"
121.25,17.25,"Abditomys latidens",1,"Terrestrial Mammals"
120.75,16.75,"Abditomys latidens",1,"Terrestrial Mammals"
121.25,16.75,"Abditomys latidens",1,"Terrestrial Mammals"
121.25,14.25,"Abditomys latidens",1,"Terrestrial Mammals"
-64.75,-17.75,"Abrocoma boliviensis",1,"Terrestrial Mammals"
-64.25,-17.75,"Abrocoma boliviensis",1,"Terrestrial Mammals"
-65.75,-28.75,"Abrocoma budini",1,"Terrestrial Mammals"
-65.75,-29.25,"Abrocoma budini",1,"Terrestrial Mammals"
-68.25,-28.75,"Abrocoma famatina",1,"Terrestrial Mammals"
-67.75,-28.75,"Abrocoma famatina",1,"Terrestrial Mammals"
-68.25,-29.25,"Abrocoma famatina",1,"Terrestrial Mammals"
-67.75,-29.25,"Abrocoma famatina",1,"Terrestrial Mammals"
-69.75,-31.25,"Abrocoma shistacea",1,"Terrestrial Mammals"
-69.25,-31.25,"Abrocoma shistacea",1,"Terrestrial Mammals"
-68.75,-31.25,"Abrocoma shistacea",1,"Terrestrial Mammals"
-69.75,-31.75,"Abrocoma shistacea",1,"Terrestrial Mammals"
-69.25,-31.75,"Abrocoma shistacea",1,"Terrestrial Mammals"
-68.75,-31.75,"Abrocoma shistacea",1,"Terrestrial Mammals"
-68.75,-32.25,"Abrocoma shistacea",1,"Terrestrial Mammals"
-69.25,-32.75,"Abrocoma uspallata",1,"Terrestrial Mammals"
-69.75,-32.75,"Abrocoma vaccarum",1,"Terrestrial Mammals"
126.75,4.75,"Acerodon humilis",1,"Terrestrial Mammals"
126.75,4.25,"Acerodon humilis",1,"Terrestrial Mammals"
126.75,3.75,"Acerodon humilis",1,"Terrestrial Mammals"
34.25,36.25,"Acomys cilicicus",1,"Terrestrial Mammals"
-90.25,-0.75,"Aegialomys galapagoensis",1,"Terrestrial Mammals"
-90.25,-0.75,"Aegialomys galapagoensis",1,"Terrestrial Mammals"
-70.25,9.75,"Aepeomys reigi",1,"Terrestrial Mammals"
-69.75,9.75,"Aepeomys reigi",1,"Terrestrial Mammals"
-69.25,9.75,"Aepeomys reigi",1,"Terrestrial Mammals"
-70.75,9.25,"Aepeomys reigi",1,"Terrestrial Mammals"
-70.25,9.25,"Aepeomys reigi",1,"Terrestrial Mammals"
-69.75,9.25,"Aepeomys reigi",1,"Terrestrial Mammals"
-70.75,8.75,"Aepeomys reigi",1,"Terrestrial Mammals"
-70.25,8.75,"Aepeomys reigi",1,"Terrestrial Mammals"
-65.25,-26.75,"Akodon aliquantulus",1,"Terrestrial Mammals"
-67.75,-25.25,"Akodon leucolimnaeus",1,"Terrestrial Mammals"
-67.25,-25.25,"Akodon leucolimnaeus",1,"Terrestrial Mammals"
-67.75,-25.75,"Akodon leucolimnaeus",1,"Terrestrial Mammals"
-67.25,-25.75,"Akodon leucolimnaeus",1,"Terrestrial Mammals"
-67.25,-26.75,"Akodon leucolimnaeus",1,"Terrestrial Mammals"
-41.75,-20.25,"Akodon mystax",1,"Terrestrial Mammals"
-41.75,-20.75,"Akodon mystax",1,"Terrestrial Mammals"
-44.75,-22.25,"Akodon mystax",1,"Terrestrial Mammals"
-68.75,-32.25,"Akodon oenos",1,"Terrestrial Mammals"
-68.25,-32.25,"Akodon oenos",1,"Terrestrial Mammals"
-68.75,-32.75,"Akodon oenos",1,"Terrestrial Mammals"
-68.25,-32.75,"Akodon oenos",1,"Terrestrial Mammals"
-55.75,-27.25,"Akodon philipmyersi",1,"Terrestrial Mammals"
-55.25,-27.25,"Akodon philipmyersi",1,"Terrestrial Mammals"
-55.75,-27.75,"Akodon philipmyersi",1,"Terrestrial Mammals"
-55.25,-27.75,"Akodon philipmyersi",1,"Terrestrial Mammals"
-48.25,-24.25,"Akodon sanctipaulensis",1,"Terrestrial Mammals"
-47.75,-24.25,"Akodon sanctipaulensis",1,"Terrestrial Mammals"
-48.25,-24.75,"Akodon sanctipaulensis",1,"Terrestrial Mammals"
-47.75,-24.75,"Akodon sanctipaulensis",1,"Terrestrial Mammals"
51.75,32.25,"Allactaga firouzi",1,"Terrestrial Mammals"
52.25,32.25,"Allactaga firouzi",1,"Terrestrial Mammals"
51.75,31.75,"Allactaga firouzi",1,"Terrestrial Mammals"
52.25,31.75,"Allactaga firouzi",1,"Terrestrial Mammals"
106.75,53.25,"Alticola olchonensis",1,"Terrestrial Mammals"
107.25,53.25,"Alticola olchonensis",1,"Terrestrial Mammals"
107.75,53.25,"Alticola olchonensis",1,"Terrestrial Mammals"
106.25,52.75,"Alticola olchonensis",1,"Terrestrial Mammals"
106.75,52.75,"Alticola olchonensis",1,"Terrestrial Mammals"
31.75,-26.75,"Amblysomus marleyi",1,"Terrestrial Mammals"
32.25,-26.75,"Amblysomus marleyi",1,"Terrestrial Mammals"
31.75,-27.25,"Amblysomus marleyi",1,"Terrestrial Mammals"
32.25,-27.25,"Amblysomus marleyi",1,"Terrestrial Mammals"
31.75,-27.75,"Amblysomus marleyi",1,"Terrestrial Mammals"
32.25,-27.75,"Amblysomus marleyi",1,"Terrestrial Mammals"
30.75,-24.25,"Amblysomus robustus",1,"Terrestrial Mammals"
30.75,-24.75,"Amblysomus robustus",1,"Terrestrial Mammals"
29.75,-25.25,"Amblysomus robustus",1,"Terrestrial Mammals"
30.25,-25.25,"Amblysomus robustus",1,"Terrestrial Mammals"
30.75,-25.25,"Amblysomus robustus",1,"Terrestrial Mammals"
29.75,-25.75,"Amblysomus robustus",1,"Terrestrial Mammals"
30.25,-25.75,"Amblysomus robustus",1,"Terrestrial Mammals"
-73.75,-4.25,"Amphinectomys savamis",1,"Terrestrial Mammals"
-73.25,-4.25,"Amphinectomys savamis",1,"Terrestrial Mammals"
-73.75,-4.75,"Amphinectomys savamis",1,"Terrestrial Mammals"
-73.25,-4.75,"Amphinectomys savamis",1,"Terrestrial Mammals"
120.75,13.25,"Anonymomys mindorensis",1,"Terrestrial Mammals"
121.25,13.25,"Anonymomys mindorensis",1,"Terrestrial Mammals"
-78.25,0.25,"Anotomys leander",1,"Terrestrial Mammals"
-77.75,0.25,"Anotomys leander",1,"Terrestrial Mammals"
-78.75,-0.25,"Anotomys leander",1,"Terrestrial Mammals"
-78.25,-0.25,"Anotomys leander",1,"Terrestrial Mammals"
-77.75,-0.25,"Anotomys leander",1,"Terrestrial Mammals"
-78.75,-0.75,"Anotomys leander",1,"Terrestrial Mammals"
-78.25,-0.75,"Anotomys leander",1,"Terrestrial Mammals"
-77.75,-0.75,"Anotomys leander",1,"Terrestrial Mammals"
