"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"129","Rhinella_achalensis",22,-65.11,-32,1,2,2,0.1
"2171","Pleurodema_bufoninum",379,-69.35,-44.5,2,2,1,1
"570","Oscaecilia_polyzona",11,-76.8,7.48,1,2,6,0.00641025641025641
"127","Pleurodema_nebulosum",202,-66.34,-33.38,1,2,2,0.1
"2667","Hoplobatrachus_occipitalis",3122,12.91,6.81,11,5,6,1
"2679","Pelophylax_ridibundus",3900,35.52,47.7,14,6,9,1
"2685","Rana_temporaria",5218,30.58,56.78,19,6,10,1
"2538","Fejervarya_cancrivora",878,112.77,3.05,4,8,5,1
"1219","Hyperolius_poweri",26,31.35,-29.08,1,6,2,0.0625
"2520","Hyperolius_benguellensis",925,24.58,-14.02,4,5,4,1
"2681","Leptodactylus_fuscus",4135,-56.26,-8.75,15,3,4,1
"767","Agalychnis_aspera",14,-39.07,-15.5,1,3,3,0.00564971751412429
"2109","Litoria_verrucosa",179,146.99,-29.9,1,10,2,0.0285714285714286
"2629","Microhyla_fissipes",1747,106.68,23.08,7,8,7,1
"2625","Bombina_bombina",1755,32.76,50.85,7,6,10,1
"2536","Fejervarya_syhadrensis",907,79.44,23.52,4,7,7,0.5
"2637","Leptodactylus_petersii",2113,-59.83,-4.68,8,3,4,1
"2489","Platyplectrum_spenceri",629,124.74,-25.41,3,9,3,0.2
"2501","Necturus_maculosus",1103,-86.49,41.63,4,2,9,0.333333333333333
"2492","Anaxyrus_punctatus",1114,-106.48,31.46,4,1,8,0.5
"2412","Pristimantis_vilarsi",609,-67.72,0.4,3,2,5,0.5
"2345","Amolops_ricketti",386,111.82,26.04,2,8,7,0.0588235294117647
"475","Cochranella_euknemos",43,-78.63,7.67,1,2,6,0.00641025641025641
"2618","Afrixalus_quadrivittatus",1830,21.8,1.2,7,5,5,0.333333333333333
"2686","Lithobates_sylvaticus",5954,-108.18,54.9,21,1,10,1
"2630","Litoria_rubella",1899,134.76,-22.25,7,9,3,1
"2490","Kaloula_borealis",690,119.5,37.15,3,9,8,1
"2335","Leptobrachium_hasseltii",304,106.22,-0.93,2,8,5,0.1
"2500","Hemidactylium_scutatum",1030,-82.05,40.2,4,2,9,0.333333333333333
"2596","Amietia_angolensis",1705,28.09,-14.35,6,6,4,0.5
