"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"7608","Calidris_pusilla",2768,-104.28,65.23,3,2,10,1
"7259","Gyps_fulvus",1777,41.05,36.06,2,7,7,0.111111111111111
"8308","Chlamydotis_macqueenii",4081,65.28,35.49,4,7,7,1
"8742","Buteo_lagopus",10262,-3.11,67.46,10,5,10,1
"8818","Motacilla_flava",18554,72.81,55.36,17,7,9,1
"8451","Branta_bernicla",5206,-23.25,73.81,5,5,10,1
"8708","Parus_cinctus",8483,87.51,63.28,8,8,10,1
"6588","Myadestes_townsendi",2151,-122.84,50.1,2,2,9,0.166666666666667
"6961","Pternistis_bicalcaratus",1327,-1.04,11.38,2,5,6,0.5
"8745","Caprimulgus_europaeus",10448,52.31,47.34,10,7,8,1
"8716","Dendrocygna_viduata",10040,-3.09,-6.57,9,5,4,1
"7275","Glareola_nordmanni",1340,57.32,50.18,2,7,9,0.333333333333333
"4080","Irania_gutturalis",768,49.09,37.05,1,7,8,0.0526315789473684
"2","Anas_wyvilliana",14,-157.75,21.18,1,1,6,0.2
"7465","Epthianura_albifrons",1244,134.27,-31.81,2,9,2,0.0625
"8307","Pterocles_exustus",3716,39.26,16.14,4,7,6,1
"8290","Podica_senegalensis",4108,19.17,-1.09,4,6,5,0.0454545454545455
"7619","Nyctanassa_violacea",2378,-80,18.73,3,3,6,0.5
"8361","Picoides_canicapillus",3573,111.62,27.3,4,9,7,0.5
"8801","Ardea_purpurea",14645,52.73,14.89,14,7,6,1
"8830","Passer_montanus",20797,79.98,44.85,19,8,8,1
"8798","Surnia_ulula",14739,27.58,59.51,14,6,9,0.333333333333333
"8662","Calidris_pugnax",7596,74.07,63.86,7,8,10,1
"3721","Falco_eleonorae",138,15.18,37.55,1,6,8,0.0769230769230769
"7278","Limosa_lapponica",1867,66.41,69.14,2,7,10,1
"8828","Upupa_epops",20698,60.24,28.55,19,7,7,1
"8821","Alauda_arvensis",18777,74.14,50.12,17,8,9,1
"4054","Hypocolius_ampelinus",321,52.88,30.72,1,7,7,0.0357142857142857
"8096","Cuculus_poliocephalus",2452,112.79,32.39,3,9,7,0.2
"8668","Phylloscopus_inornatus",7390,114.21,59.88,7,9,9,0.166666666666667
"8546","Melospiza_melodia",5740,-104.37,48.07,6,2,8,0.5
"8826","Eremophila_alpestris",20626,-11.74,52.65,19,5,9,1
"7871","Merops_hirundineus",3223,20.83,-7.38,3,6,4,0.0181818181818182
"8663","Ficedula_albicilla",7280,114.34,59.66,7,9,9,0.166666666666667
"8504","Chlidonias_hybrida",4930,60.14,16.67,5,7,6,1
"8755","Corvus_frugilegus",10706,73.8,50.01,10,8,9,0.2
"6115","Psilopogon_nuchalis",16,121.12,23.81,1,9,7,0.0144927536231884
"8524","Alauda_gulgula",4968,90.5,27.23,5,8,7,0.25
"8846","Tyto_alba",26129,3.07,4.43,24,6,5,1
"8503","Riparia_paludicola",4526,44.08,1.92,5,7,5,1
"6187","Leucogeranus_leucogeranus",206,141.74,69.71,1,9,10,0.333333333333333
"8111","Buteo_japonicus",2797,127.21,53.63,3,9,9,0.1
"8","Plectrophenax_hyperboreus",18,-171.11,62.22,1,1,9,0.5
"7558","Zosterops_japonicus",1540,115.21,29.38,2,9,7,0.125
"8734","Ciconia_nigra",9603,76.97,41.24,9,8,8,1
"8576","Chrysococcyx_caprius",6372,20.36,-2.72,6,6,4,0.1
"7587","Chalcites_lucidus",1456,144.49,-30.18,2,10,2,0.25
"7","Arenaria_melanocephala",191,-162.86,62.34,1,1,9,0.5
"8161","Catharus_minimus",4089,-78.28,61.86,4,3,9,0.25
"8147","Bombycilla_cedrorum",4163,-97.95,47.89,4,3,8,0.0666666666666667
"8838","Riparia_riparia",23127,27.17,54.31,21,6,9,1
"8105","Gallinago_solitaria",2434,110.25,48.84,3,9,8,0.0909090909090909
"8812","Parus_major",17522,69.2,44.4,16,7,8,1
"6386","Sphecotheres_vieilloti",490,143.37,-20.85,1,10,3,0.0105263157894737
"3731","Acrocephalus_paludicola",154,23.88,52.27,1,6,9,0.5
"6","Vestiaria_coccinea",12,-157.21,20.83,1,1,6,0.2
"8825","Corvus_corone",19651,77.43,53.02,18,8,9,1
"7607","Zoothera_naevia",2417,-135.8,59.23,3,2,9,0.125
"7340","Enicurus_schistaceus",1226,102.7,22.86,2,8,6,0.00952380952380952
"6592","Zonotrichia_querula",1520,-104.96,64.65,2,2,10,0.333333333333333
"8752","Anthus_richardi",10350,79.68,27.25,10,8,7,1
"7550","Tyto_longimembris",2188,115.34,11.44,2,9,6,0.333333333333333
"7816","Cyanocompsa_cyanoides",2809,-65.99,-1.12,3,4,5,0.0666666666666667
"8384","Vermivora_celata",4852,-117,54.6,5,2,9,0.0666666666666667
"7535","Esacus_magnirostris",1782,126.29,-5.95,2,9,4,0.0909090909090909
"2066","Chunga_burmeisteri",315,-62.48,-25.61,1,4,3,0.00280112044817927
"8140","Calidris_bairdii",4061,-105.27,71.25,4,2,10,0.5
"8120","Turdus_obscurus",3082,116.62,58.53,3,9,9,0.1
"7606","Tringa_melanoleuca",2954,-105.67,55.22,3,2,9,0.125
"6619","Caracara_cheriway",1857,-80.41,12.75,2,3,6,0.333333333333333
"7829","Calidris_alba",2569,-37.92,75.29,3,4,10,1
"8495","Ammomanes_deserti",4569,28.62,25.35,5,6,7,1
"8145","Myiarchus_tuberculifer",3953,-69,0.09,4,3,5,0.5
