"","spName","prevAll","x","y","prevBins","xBins","yBins","weights"
"3795","Spermophilus_erythrogenys",1100,83.32,48.71,2,8,9,0.333333333333333
"4093","Lepus_arcticus",5144,-79.37,70.98,5,3,10,1
"1392","Carpitalpa_arendsi",12,32.88,-19.25,1,6,3,0.0135135135135135
"3511","Synaptomys_cooperi",1709,-82.52,44.01,2,3,8,0.0833333333333333
"4065","Meriones_libycus",3571,45.25,34.54,4,7,7,1
"3836","Lemmus_amurensis",1495,135.57,58.75,2,9,9,1
"3986","Rhinolophus_luctus",2643,109.25,11.54,3,9,6,1
"4155","Lynx_canadensis",5443,-112.33,58.07,6,2,9,0.333333333333333
"3517","Alouatta_caraya",1164,-53.33,-17.71,2,4,3,0.0833333333333333
"3997","Sylvilagus_floridanus",3308,-91.71,33.15,4,3,7,0.5
"4222","Puma_concolor",8509,-76.1,1.91,9,3,5,1
"4213","Sorex_roboratus",6604,114.24,61.23,7,9,9,0.333333333333333
"3823","Melogale_moschata",1261,107.88,25.86,2,9,7,0.166666666666667
"2630","Spermophilus_ralli",31,80.69,43.06,1,8,8,0.0232558139534884
"2133","Pipistrellus_arabicus",17,56.87,23.63,1,7,7,0.032258064516129
"3232","Cercartetus_nanus",249,147.85,-36.19,1,10,2,0.0232558139534884
"4184","Myodes_glareolus",5753,36.24,55.5,6,6,9,0.333333333333333
"4157","Nyctinomops_macrotis",5741,-68.23,0.22,6,3,5,0.5
"4240","Vulpes_lagopus",12106,-19.79,69.08,12,5,10,1
"822","Reithrodon_auritus",653,-66.35,-42.63,1,4,1,1
"4252","Rangifer_tarandus",16195,5.51,64.64,16,6,10,1
"4145","Pipistrellus_kuhlii",5208,33.9,36.06,5,6,8,1
"4129","Urocitellus_parryii",4706,-47.46,64.53,5,4,10,1
"4069","Vormela_peregusna",3973,69.69,42.02,4,7,8,0.25
"1365","Lepus_saxatilis",587,24.5,-28.81,1,6,2,0.0227272727272727
"4149","Myotis_brandtii",4834,48.48,54.4,5,7,9,0.5
"4246","Sciurus_vulgaris",13177,79.72,57.39,13,8,9,1
"4239","Lontra_canadensis",12452,-103.93,55.63,12,2,9,1
"4232","Lasiurus_cinereus",9918,-85.76,27.38,10,3,7,1
"4116","Nyctinomops_laticaudatus",4802,-60.49,-5.99,5,4,4,0.0285714285714286
"4083","Plecotus_ognevi",3432,115.75,51.79,4,9,9,1
"4152","Apodemus_peninsulae",4955,114.74,48.76,5,9,9,0.5
"2659","Pseudomys_bolami",355,130.27,-30.25,1,9,2,0.0333333333333333
"3886","Sciurus_aestuans",2526,-51.81,-10.76,3,4,4,0.0357142857142857
"3082","Euroscaptor_parvidens",15,107.25,15.45,1,9,6,0.0238095238095238
"3126","Hydropotes_inermis",116,121.88,33.07,1,9,7,0.0185185185185185
"698","Molossus_sinaloae",902,-80.68,12.06,1,3,6,0.00675675675675676
"3505","Microtus_pinetorum",1260,-85.93,37.85,2,3,8,0.0833333333333333
"3759","Rhinolophus_lepidus",1445,84.91,21.3,2,8,6,0.0263157894736842
"3996","Didelphis_marsupialis",3367,-67.85,-0.4,4,3,5,1
"3087","Kerivoula_whiteheadi",167,120.19,10.63,1,9,6,0.0238095238095238
"1211","Enhydra_lutris",312,-53.79,54.67,1,4,9,1
"4204","Rhinopoma_hardwickii",6445,32.4,21.82,7,6,6,0.5
"4144","Vulpes_rueppellii",4877,23.06,24.11,5,6,7,1
"4082","Dicrostonyx_torquatus",3249,97.85,69.43,4,8,10,1
"3498","Pipistrellus_subflavus",1979,-86.98,35.63,2,3,7,0.2
"3711","Tatera_indica",1944,70.18,25.28,2,7,7,0.111111111111111
"4245","Sus_scrofa",13409,70.78,38.34,13,7,8,0.5
"3840","Hydromys_chrysogaster",1807,141.63,-21.65,2,10,3,0.333333333333333
"246","Lagidium_wolffsohni",41,-72.52,-49.2,1,3,1,0.0333333333333333
