x,y,LSM,Realm,area
-37.75,83.75,1,11,336.1251724558
-37.25,83.75,1,NA,336.1251724558
-36.75,83.75,1,11,336.1251724558
-36.25,83.75,1,11,336.1251724558
-35.75,83.75,1,11,336.1251724558
-35.25,83.75,1,11,336.1251724558
-34.75,83.75,1,11,336.1251724558
-34.25,83.75,1,11,336.1251724558
-33.75,83.75,1,11,336.1251724558
-33.25,83.75,1,11,336.1251724558
-32.75,83.75,1,11,336.1251724558
-32.25,83.75,1,11,336.1251724558
-31.75,83.75,1,11,336.1251724558
-31.25,83.75,1,11,336.1251724558
-30.75,83.75,1,11,336.1251724558
-30.25,83.75,1,11,336.1251724558
-29.75,83.75,1,11,336.1251724558
-29.25,83.75,1,11,336.1251724558
-28.75,83.75,1,11,336.1251724558
-72.25,83.25,1,11,362.8929091116475
-71.75,83.25,1,11,362.8929091116475
-70.75,83.25,1,11,362.8929091116475
-70.25,83.25,1,11,362.8929091116475
-69.75,83.25,1,11,362.8929091116475
-46.75,83.25,1,11,362.8929091116475
-46.25,83.25,1,11,362.8929091116475
-45.75,83.25,1,11,362.8929091116475
-45.25,83.25,1,11,362.8929091116475
-44.75,83.25,1,11,362.8929091116475
-44.25,83.25,1,11,362.8929091116475
-43.75,83.25,1,11,362.8929091116475
-43.25,83.25,1,11,362.8929091116475
-42.75,83.25,1,11,362.8929091116475
-42.25,83.25,1,11,362.8929091116475
-41.75,83.25,1,11,362.8929091116475
-41.25,83.25,1,11,362.8929091116475
-40.75,83.25,1,11,362.8929091116475
-40.25,83.25,1,11,362.8929091116475
-39.75,83.25,1,11,362.8929091116475
-39.25,83.25,1,11,362.8929091116475
-38.75,83.25,1,11,362.8929091116475
-38.25,83.25,1,11,362.8929091116475
-37.75,83.25,1,11,362.8929091116475
-37.25,83.25,1,11,362.8929091116475
-36.75,83.25,1,11,362.8929091116475
-36.25,83.25,1,11,362.8929091116475
-35.75,83.25,1,11,362.8929091116475
-35.25,83.25,1,11,362.8929091116475
-34.75,83.25,1,11,362.8929091116475
-34.25,83.25,1,11,362.8929091116475
-33.75,83.25,1,11,362.8929091116475
-33.25,83.25,1,11,362.8929091116475
-32.75,83.25,1,11,362.8929091116475
-32.25,83.25,1,11,362.8929091116475
-31.75,83.25,1,11,362.8929091116475
-31.25,83.25,1,11,362.8929091116475
-30.75,83.25,1,11,362.8929091116475
-30.25,83.25,1,11,362.8929091116475
-29.75,83.25,1,11,362.8929091116475
-29.25,83.25,1,11,362.8929091116475
-28.75,83.25,1,11,362.8929091116475
-28.25,83.25,1,11,362.8929091116475
-27.75,83.25,1,11,362.8929091116475
-27.25,83.25,1,11,362.8929091116475
-26.75,83.25,1,11,362.8929091116475
-26.25,83.25,1,11,362.8929091116475
-25.75,83.25,1,11,362.8929091116475
-25.25,83.25,1,11,362.8929091116475
-24.75,83.25,1,11,362.8929091116475
-82.25,82.75,1,11,389.6324622579834
-81.75,82.75,1,11,389.6324622579834
-81.25,82.75,1,11,389.6324622579834
-80.75,82.75,1,11,389.6324622579834
-80.25,82.75,1,11,389.6324622579834
-79.75,82.75,1,11,389.6324622579834
-79.25,82.75,1,11,389.6324622579834
-78.75,82.75,1,11,389.6324622579834
-78.25,82.75,1,11,389.6324622579834
-77.75,82.75,1,11,389.6324622579834
-77.25,82.75,1,11,389.6324622579834
-76.75,82.75,1,11,389.6324622579834
-76.25,82.75,1,11,389.6324622579834
-75.75,82.75,1,11,389.6324622579834
-75.25,82.75,1,11,389.6324622579834
-74.75,82.75,1,11,389.6324622579834
-74.25,82.75,1,11,389.6324622579834
-73.75,82.75,1,11,389.6324622579834
-73.25,82.75,1,11,389.6324622579834
